direction,entry_time,exit_time,entry,stop,target,exit,rr_target,r,outcome,zone_source,bars_held
long,2023-09-27 01:00:00+00:00,2023-09-27 03:00:00+00:00,0.6406273245811462,0.6387029552340507,0.6448284983634949,0.6387029552340507,2.1831431625584616,-1.0,stop,fvg,2
short,2023-10-02 12:00:00+00:00,2023-10-16 12:00:00+00:00,0.6391818523406982,0.6503251011729241,0.6057521058440207,0.6333122253417969,3.0,0.5267428814769564,time,fvg,240
short,2023-10-18 22:00:00+00:00,2023-10-25 01:00:00+00:00,0.6331478357315063,0.6395958482265472,0.6138037982463836,0.6395958482265472,3.0,-1.0,stop,fvg,99
long,2023-10-26 12:00:00+00:00,2023-10-31 15:00:00+00:00,0.6323510408401489,0.6323510408401489,0.648301136314869,0.6323510408401489,3.0,0.5235181012822732,be_stop,fvg,74
short,2023-11-02 16:00:00+00:00,2023-11-03 12:00:00+00:00,0.6416796445846558,0.6458737110614776,0.6332882046699524,0.6458737110614776,2.0007884856088793,-1.0,stop,fvg,20
long,2023-11-08 02:00:00+00:00,2023-11-08 19:00:00+00:00,0.644437849521637,0.640449915933609,0.6564016502857208,0.640449915933609,3.0,-1.0,stop,fvg,17
long,2023-11-09 06:00:00+00:00,2023-11-09 11:00:00+00:00,0.6419803500175476,0.6397000606894493,0.649688184261322,0.6397000606894493,3.3802001126771413,-1.0,stop,fvg,5
long,2023-11-09 14:00:00+00:00,2023-11-09 18:00:00+00:00,0.6427478790283203,0.6391724863052368,0.6505080461502075,0.6391724863052368,2.1704376897636797,-1.0,stop,bpr,4
short,2023-11-14 03:00:00+00:00,2023-11-14 13:00:00+00:00,0.6374298930168152,0.6393096887111663,0.6317905059337617,0.6393096887111663,3.0,-1.0,stop,fvg,10
short,2023-11-15 14:00:00+00:00,2023-11-20 02:00:00+00:00,0.6491820216178894,0.6543199476242065,0.6375680565834045,0.6543199476242065,2.260438359798367,-1.0,stop,fvg,59
short,2023-11-24 02:00:00+00:00,2023-11-24 12:00:00+00:00,0.6555313467979431,0.6577233977437019,0.6505588293075562,0.6577233977437019,2.268431534407456,-1.0,stop,fvg,10
short,2023-11-29 07:00:00+00:00,2023-12-01 19:00:00+00:00,0.6629277467727661,0.6676902144312858,0.6529077291488647,0.6676902144312858,2.1039549960987634,-1.0,stop,fvg,60
short,2023-12-04 14:00:00+00:00,2023-12-13 19:00:00+00:00,0.6635568141937256,0.6635568141937256,0.6522306203842163,0.6635568141937256,2.0525700895890218,0.5706456371520058,be_stop,fvg,172
short,2023-12-15 13:00:00+00:00,2023-12-15 16:00:00+00:00,0.667338490486145,0.6729009407401084,0.6560904383659363,0.6729009407401084,2.022139813689873,-1.0,stop,fvg,3
short,2023-12-18 15:00:00+00:00,2023-12-19 12:00:00+00:00,0.6695188283920288,0.6738983855009079,0.6602795720100403,0.6738983855009079,2.1096325843672616,-1.0,stop,bpr,21
short,2023-12-20 06:00:00+00:00,2023-12-20 15:00:00+00:00,0.6767181754112244,0.6778259844660759,0.6715014576911926,0.6778259844660759,4.709040513061073,-1.0,stop,fvg,9
short,2023-12-25 00:00:00+00:00,2023-12-26 20:00:00+00:00,0.6792093515396118,0.6828235815525054,0.6715014576911926,0.6828235815525054,2.1326517186016316,-1.0,stop,fvg,44
long,2024-01-05 15:00:00+00:00,2024-01-16 00:00:00+00:00,0.6736274361610413,0.6641336138010026,0.7021089032411574,0.6641336138010026,3.0,-1.0,stop,fvg,151
long,2024-01-18 01:00:00+00:00,2024-01-23 17:00:00+00:00,0.6560388207435608,0.6560388207435608,0.6664889454841614,0.6560388207435608,3.0038172760221653,0.5099622482991476,be_stop,fvg,87
short,2024-01-24 19:00:00+00:00,2024-01-30 00:00:00+00:00,0.658128559589386,0.6622919940233231,0.6456382562875748,0.6622919940233231,3.0,-1.0,stop,fvg,76
short,2024-01-30 10:00:00+00:00,2024-01-31 14:00:00+00:00,0.6600965261459351,0.6600965261459351,0.6545187830924988,0.6600965261459351,2.0791880402653256,0.5288455073723302,be_stop,bpr,28
long,2024-02-06 01:00:00+00:00,2024-02-13 13:00:00+00:00,0.6495910882949829,0.64683086643219,0.6576351523399353,0.64683086643219,2.914281693578463,-1.0,stop,fvg,131
long,2024-02-29 01:00:00+00:00,2024-02-29 13:00:00+00:00,0.650199294090271,0.6488962906479836,0.6543903350830078,0.6488962906479836,3.2164466007699275,-1.0,stop,fvg,12
short,2024-03-08 16:00:00+00:00,2024-03-19 04:00:00+00:00,0.6626290678977966,0.6626290678977966,0.6532360911369324,0.6532360911369324,2.202694790236018,1.7086930856397515,target,fvg,154
short,2024-03-26 03:00:00+00:00,2024-03-26 09:00:00+00:00,0.6535093188285828,0.6555679608106613,0.6473333928823473,0.6555679608106613,3.0,-1.0,stop,fvg,6
short,2024-03-26 19:00:00+00:00,2024-04-03 16:00:00+00:00,0.6531379818916321,0.6562561744451523,0.6437834042310715,0.6562561744451523,3.0,-1.0,stop,bpr,141
long,2024-04-08 10:00:00+00:00,2024-04-10 12:00:00+00:00,0.6591001749038696,0.6548765396714211,0.6717710806012152,0.6548765396714211,3.0,-1.0,stop,fvg,50
long,2024-04-17 02:00:00+00:00,2024-04-19 01:00:00+00:00,0.6421370506286621,0.6390294637680054,0.648929238319397,0.6390294637680054,2.185679112216194,-1.0,stop,bpr,47
short,2024-04-23 08:00:00+00:00,2024-04-23 13:00:00+00:00,0.6445499658584595,0.6467925811886788,0.6398566961288452,0.6467925811886788,2.092766274435177,-1.0,stop,fvg,5
short,2024-04-26 14:00:00+00:00,2024-04-29 01:00:00+00:00,0.6526094675064087,0.6557398353695869,0.6447868943214417,0.6557398353695869,2.498930964945728,-1.0,stop,fvg,10
long,2024-05-01 18:00:00+00:00,2024-05-15 20:00:00+00:00,0.6533855199813843,0.6465380277872086,0.6739279965639113,0.6694784760475159,3.0,2.3501970662806855,time,fvg,240
long,2024-05-17 14:00:00+00:00,2024-05-22 11:00:00+00:00,0.6688694953918457,0.6648048066496849,0.6810635616183282,0.6648048066496849,3.0,-1.0,stop,fvg,68
long,2024-05-24 14:00:00+00:00,2024-05-29 11:00:00+00:00,0.6629277467727661,0.6629277467727661,0.6709157824516296,0.6629277467727661,2.112527605381221,0.5237930993770388,be_stop,fvg,68
long,2024-05-30 11:00:00+00:00,2024-06-03 14:00:00+00:00,0.6622166037559509,0.6622166037559509,0.6686279773712158,0.6686279773712158,2.011471459225574,1.508954220457952,target,bpr,50
short,2024-06-18 07:00:00+00:00,2024-06-18 13:00:00+00:00,0.6615375280380249,0.6635705905079842,0.6554383406281471,0.6635705905079842,3.0,-1.0,stop,fvg,6
long,2024-06-21 03:00:00+00:00,2024-06-21 09:00:00+00:00,0.6667200326919556,0.6647473592638969,0.6726380529761314,0.6647473592638969,3.0,-1.0,stop,fvg,6
long,2024-06-24 07:00:00+00:00,2024-06-28 01:00:00+00:00,0.6653404235839844,0.6625667423129082,0.6736614673972128,0.6625667423129082,3.0,-1.0,stop,bpr,90
short,2024-07-14 23:00:00+00:00,2024-07-16 12:00:00+00:00,0.6772773265838623,0.6772773265838623,0.6724904179573059,0.6724904179573059,2.0020125771689394,1.7015773244633317,target,fvg,37
