direction,entry_time,exit_time,entry,stop,target,exit,rr_target,r,outcome,zone_source,bars_held,quality
long,2024-02-16 08:00:00+00:00,2024-02-20 05:00:00+00:00,5052.75,5012.74725,5172.758249999999,5012.74725,3.0,-1.0,stop,fvg,20,0.5844402277039847
long,2024-02-21 20:00:00+00:00,2024-02-23 14:00:00+00:00,4995.75,4995.75,5108.975399999999,5108.975399999999,3.0,2.2220111388434085,target,fvg,40,1.5864022662889519
long,2024-02-27 12:00:00+00:00,2024-02-27 17:00:00+00:00,5088.25,5071.9854000000005,5123.5,5071.9854000000005,2.1672835483197277,-1.0,stop,fvg,5,0.9313929313929314
long,2024-03-06 07:00:00+00:00,2024-03-07 02:00:00+00:00,5092.25,5092.25,5157.75,5092.25,2.1643877261041666,0.5163138659599634,be_stop,fvg,18,1.2612612612612613
long,2024-03-15 20:00:00+00:00,2024-04-02 07:00:00+00:00,5183.25,5112.9772,5394.068399999999,5287.75,3.0,1.4870618503887763,time,fvg,240,0.9865771812080537
long,2024-04-11 12:00:00+00:00,2024-04-12 12:00:00+00:00,5212.25,5212.25,5296.0,5212.25,2.1050805963096284,0.5404087500973971,be_stop,fvg,23,1.198443579766537
short,2024-04-24 15:00:00+00:00,2024-04-25 19:00:00+00:00,5088.0,5088.0,4991.25,5088.0,2.315936877255357,0.5445743044708979,be_stop,fvg,27,2.0032894736842106
long,2024-05-09 14:00:00+00:00,2024-05-15 19:00:00+00:00,5229.25,5193.961,5335.116999999999,5335.116999999999,3.0,3.0,target,fvg,97,0.9451476793248946
long,2024-05-17 12:00:00+00:00,2024-05-17 18:00:00+00:00,5325.75,5312.18735,5366.43795,5312.18735,3.0,-1.0,stop,fvg,6,1.6776859504132233
long,2024-05-31 12:00:00+00:00,2024-05-31 14:00:00+00:00,5268.25,5229.70385,5347.0,5229.70385,2.0430055919981567,-1.0,stop,fvg,2,1.2831423895253682
long,2024-06-10 15:00:00+00:00,2024-06-11 13:00:00+00:00,5361.75,5337.18235,5435.45295,5337.18235,3.0,-1.0,stop,fvg,21,1.1810699588477367
long,2024-06-17 15:00:00+00:00,2024-06-24 14:00:00+00:00,5446.25,5411.9174,5549.247799999999,5549.247799999999,3.0,3.0,target,fvg,85,0.9043927648578811
long,2024-07-02 13:00:00+00:00,2024-07-05 17:00:00+00:00,5530.5,5530.5,5617.05165,5617.05165,3.0,2.071912840483108,target,fvg,31,0.9491525423728814
long,2024-07-12 13:00:00+00:00,2024-07-17 11:00:00+00:00,5658.75,5658.75,5774.6227499999995,5658.75,3.0,0.6343165239454512,be_stop,fvg,67,1.7883211678832116
long,2024-07-22 04:00:00+00:00,2024-07-24 04:00:00+00:00,5566.5,5566.5,5636.5,5566.5,2.7334780775058105,0.746825260461409,be_stop,fvg,46,0.8371134020618556
long,2024-07-25 15:00:00+00:00,2024-08-01 15:00:00+00:00,5497.75,5497.75,5654.5,5497.75,2.362952522367043,0.5125383461593586,be_stop,fvg,115,1.0012771392081736
long,2024-08-06 00:00:00+00:00,2024-08-20 09:00:00+00:00,5286.25,5286.25,5788.071999999998,5632.75,3.0,1.6387782919043064,time,fvg,240,2.0563035495716036
short,2024-08-26 14:00:00+00:00,2024-08-28 22:00:00+00:00,5640.75,5640.75,5573.5,5573.5,2.2886760732104388,1.6675855403317694,target,fvg,53,0.5621414913957935
long,2024-09-04 13:00:00+00:00,2024-09-05 15:00:00+00:00,5545.5,5505.64865,5636.75,5505.64865,2.289759318065767,-1.0,stop,fvg,25,1.1086556169429098
long,2024-09-06 12:00:00+00:00,2024-09-06 14:00:00+00:00,5513.75,5465.4067000000005,5621.5,5465.4067000000005,2.2288507404335456,-1.0,stop,fvg,2,1.3190954773869348
long,2024-09-09 07:00:00+00:00,2024-09-13 13:00:00+00:00,5454.0,5454.0,5621.5,5621.5,2.742359050930918,1.9974197266481912,target,fvg,98,0.7391304347826086
long,2024-10-03 11:00:00+00:00,2024-10-04 14:00:00+00:00,5755.25,5755.25,5820.25,5755.25,2.0064948695469624,0.5556447331053127,be_stop,fvg,26,1.8762886597938144
long,2024-10-16 16:00:00+00:00,2024-10-18 00:00:00+00:00,5878.0,5878.0,5965.51,5878.0,3.0,0.617072334590331,be_stop,fvg,30,0.8876811594202898
long,2024-10-24 00:00:00+00:00,2024-10-31 13:00:00+00:00,5852.25,5799.8398,6009.480600000001,5799.8398,3.0,-1.0,stop,fvg,128,1.9878296146044625
long,2024-11-12 14:00:00+00:00,2024-11-12 16:00:00+00:00,6032.75,6011.04755,6097.857349999999,6011.04755,3.0,-1.0,stop,fvg,2,1.3881019830028327
long,2024-11-13 13:00:00+00:00,2024-11-14 17:00:00+00:00,6013.75,5985.5526500000005,6098.342049999998,5985.5526500000005,3.0,-1.0,stop,fvg,27,0.9238578680203046
long,2024-11-18 06:00:00+00:00,2024-11-19 13:00:00+00:00,5915.25,5875.5746500000005,6008.75,5875.5746500000005,2.3566269736751186,-1.0,stop,fvg,30,0.6105919003115265
short,2024-11-21 14:00:00+00:00,2024-11-21 17:00:00+00:00,5930.75,5972.6943,5804.9171,5972.6943,3.0,-1.0,stop,fvg,3,0.5767790262172284
