direction,entry_time,exit_time,entry,stop,target,exit,rr_target,r,outcome,zone_source,bars_held,quality
long,2024-02-27 16:00:00+00:00,2024-02-27 17:00:00+00:00,5078.5,5071.9854000000005,5104.25,5071.9854000000005,3.9526601786758824,-1.0,stop,fvg,1,0.9313929313929314
long,2024-03-06 08:00:00+00:00,2024-03-11 14:00:00+00:00,5099.5,5099.5,5212.0378,5099.5,3.0,0.6064628951339014,be_stop,fvg,76,1.2612612612612613
long,2024-03-19 14:00:00+00:00,2024-03-20 18:00:00+00:00,5206.0,5206.0,5269.111599999999,5269.111599999999,3.0,2.3140341870591237,target,fvg,27,1.1848552338530067
short,2024-04-26 05:00:00+00:00,2024-04-26 12:00:00+00:00,5127.5,5135.7769499999995,5106.5,5135.7769499999995,2.537166468324842,-1.0,stop,fvg,7,1.8073217726396917
long,2024-05-09 15:00:00+00:00,2024-05-15 15:00:00+00:00,5222.5,5193.961,5308.116999999999,5308.116999999999,3.0,3.0,target,fvg,92,0.9451476793248946
long,2024-05-17 15:00:00+00:00,2024-05-17 18:00:00+00:00,5320.75,5312.18735,5343.25,5312.18735,2.6276911937309593,-1.0,stop,fvg,3,1.6776859504132233
long,2024-06-18 07:00:00+00:00,2024-07-05 19:00:00+00:00,5475.5,5423.6650500000005,5631.004849999998,5622.25,3.0,2.8311014093772924,time,fvg,240,0.6496
long,2024-07-16 02:00:00+00:00,2024-07-17 11:00:00+00:00,5693.5,5664.8668,5779.399600000001,5664.8668,3.0,-1.0,stop,fvg,32,2.249400479616307
short,2024-07-23 07:00:00+00:00,2024-07-23 11:00:00+00:00,5591.5,5617.1232,5514.6304,5617.1232,3.0,-1.0,stop,fvg,4,0.6939281288723668
short,2024-07-23 23:00:00+00:00,2024-08-02 12:00:00+00:00,5575.0,5630.87595,5407.372150000001,5407.372150000001,3.0,3.0,target,bpr,175,0.9485981308411214
short,2024-08-28 11:00:00+00:00,2024-08-28 15:00:00+00:00,5638.75,5638.75,5611.5,5611.5,2.1156668038291118,1.5624878688829678,target,fvg,4,0.782608695652174
long,2024-09-04 22:00:00+00:00,2024-09-05 15:00:00+00:00,5530.25,5505.64865,5621.5,5505.64865,3.7091460427984777,-1.0,stop,fvg,17,1.1086556169429098
long,2024-09-09 17:00:00+00:00,2024-09-13 14:00:00+00:00,5473.25,5473.25,5636.75,5636.75,2.0353845694196795,1.5405433667626014,target,fvg,89,0.7391304347826086
long,2024-10-03 15:00:00+00:00,2024-10-04 14:00:00+00:00,5756.5,5756.5,5819.25,5756.5,2.0147502191341786,0.5578690845809777,be_stop,fvg,22,1.8762886597938144
long,2024-10-17 02:00:00+00:00,2024-10-21 15:00:00+00:00,5875.5,5875.5,5945.76195,5875.5,3.0,0.8219242420684303,be_stop,fvg,59,0.8876811594202898
long,2024-10-25 07:00:00+00:00,2024-10-31 06:00:00+00:00,5860.25,5821.3355,5976.9935,5821.3355,3.0,-1.0,stop,fvg,91,1.2089136490250696
long,2024-12-09 06:00:00+00:00,2024-12-09 15:00:00+00:00,6096.25,6074.7848,6160.645599999999,6074.7848,3.0,-1.0,stop,fvg,9,0.7797468354430379
long,2025-01-08 06:00:00+00:00,2025-01-08 12:00:00+00:00,5964.5,5933.813,6031.75,5933.813,2.1914817349366253,-1.0,stop,fvg,6,0.6375227686703097
long,2025-01-13 17:00:00+00:00,2025-01-14 16:00:00+00:00,5855.5,5855.5,5952.5,5855.5,2.0351728218405576,0.5428875955167467,be_stop,fvg,22,0.8870116156283
long,2025-01-29 01:00:00+00:00,2025-02-02 23:00:00+00:00,6091.75,6022.2953,6300.114100000001,6022.2953,3.0,-1.0,stop,fvg,67,1.379217273954116
short,2025-03-12 18:00:00+00:00,2025-03-14 15:00:00+00:00,5626.0,5626.0,5475.594999999999,5626.0,3.0,0.5435324623516482,be_stop,fvg,43,0.6476484194294526
long,2025-04-01 13:00:00+00:00,2025-04-02 22:00:00+00:00,5636.5,5636.5,5948.07025,5636.5,3.0,0.5235576888358248,be_stop,fvg,31,0.7556818181818181
short,2025-04-10 07:00:00+00:00,2025-04-11 17:00:00+00:00,5401.0,5401.0,5141.5,5401.0,2.013879861783433,0.7391986775910288,be_stop,fvg,33,1.1384863123993558
long,2025-04-28 03:00:00+00:00,2025-04-28 15:00:00+00:00,5518.5,5518.5,5636.53815,5518.5,3.0,0.5559643217044644,be_stop,fvg,12,2.103756708407871
