direction,entry_time,exit_time,entry,stop,target,exit,rr_target,r,outcome,zone_source,bars_held
short,2023-09-25 08:00:00+01:00,2023-09-27 14:00:00+01:00,1.064056158065796,1.0675632614850998,1.053534847807884,1.053534847807884,3.0,3.0,target,fvg,54
short,2023-09-28 03:00:00+01:00,2023-09-28 16:00:00+01:00,1.0503098964691162,1.057852915263176,1.027680840086937,1.057852915263176,3.0,-1.0,stop,fvg,13
short,2023-10-02 00:00:00+01:00,2023-10-10 16:00:00+01:00,1.0566357374191284,1.0621216998338698,1.0401778501749042,1.0621216998338698,3.0,-1.0,stop,fvg,159
short,2023-10-11 08:00:00+01:00,2023-10-11 14:00:00+01:00,1.06022047996521,1.0629118577957153,1.0540739297866821,1.0629118577957153,2.2837931221919043,-1.0,stop,bpr,6
long,2023-10-11 20:00:00+01:00,2023-10-12 13:00:00+01:00,1.0615711212158203,1.0585494868040084,1.070636024451256,1.0585494868040084,3.0,-1.0,stop,fvg,17
short,2023-10-13 07:00:00+01:00,2023-10-23 16:00:00+01:00,1.0539628267288208,1.064042545580864,1.0237236701726913,1.064042545580864,3.0,-1.0,stop,fvg,151
short,2023-10-24 09:00:00+01:00,2023-10-26 00:00:00+01:00,1.065303087234497,1.0696182445049285,1.0564124584197998,1.0564124584197998,2.0603255588430534,2.0603255588430534,target,fvg,39
short,2023-10-26 16:00:00+01:00,2023-10-27 14:00:00+01:00,1.0535187721252441,1.0589729912996293,1.0371561146020887,1.0589729912996293,3.0,-1.0,stop,fvg,22
short,2023-11-06 19:00:00+00:00,2023-11-14 13:00:00+00:00,1.0726161003112793,1.0760624375581742,1.0623606443405151,1.0760624375581742,2.975755196333189,-1.0,stop,fvg,137
short,2023-11-15 09:00:00+00:00,2023-11-16 15:00:00+00:00,1.0855406522750854,1.08918654756546,1.0735372304916382,1.08918654756546,3.292311168435638,-1.0,stop,fvg,30
short,2023-11-17 07:00:00+00:00,2023-11-17 18:00:00+00:00,1.0841283798217773,1.0900174832582474,1.0698620080947876,1.0900174832582474,2.4225031672293,-1.0,stop,bpr,11
short,2023-11-21 15:00:00+00:00,2023-11-22 15:00:00+00:00,1.0937328338623047,1.097071434545517,1.0868383646011353,1.0868383646011353,2.0650775325834094,2.0650775325834094,target,fvg,24
short,2023-11-28 07:00:00+00:00,2023-11-28 13:00:00+00:00,1.0938525199890137,1.0968308220863343,1.0856584310531616,1.0968308220863343,2.751261849234056,-1.0,stop,fvg,6
short,2023-11-29 07:00:00+00:00,2023-11-30 11:00:00+00:00,1.098659634590149,1.1021487389802933,1.091226577758789,1.091226577758789,2.1303624082890447,2.1303624082890447,target,fvg,28
long,2023-12-05 20:00:00+00:00,2023-12-06 08:00:00+00:00,1.0797970294952393,1.0779514474630356,1.0841283798217773,1.0779514474630356,2.3468749971337854,-1.0,stop,fvg,12
short,2023-12-15 08:00:00+00:00,2023-12-21 21:00:00+00:00,1.0957703590393066,1.1014205822467804,1.0807305574417114,1.1014205822467804,2.6618066305241683,-1.0,stop,bpr,108
long,2024-01-04 03:00:00+00:00,2024-01-05 13:00:00+00:00,1.0928961038589478,1.0895815634489059,1.1024142503738403,1.0895815634489059,2.871633872996695,-1.0,stop,fvg,34
short,2024-01-08 03:00:00+00:00,2024-01-22 05:00:00+00:00,1.0934937000274658,1.099967011141777,1.0740737666845324,1.0905125141143799,3.0,0.4605349349724829,time,fvg,240
short,2024-01-22 10:00:00+00:00,2024-01-23 06:00:00+00:00,1.0889687538146973,1.0914448230743408,1.0815405460357668,1.0914448230743408,3.0,-1.0,stop,fvg,20
long,2024-01-24 09:00:00+00:00,2024-01-26 07:00:00+00:00,1.0906314849853516,1.08226894030571,1.1157191190242763,1.08226894030571,3.0,-1.0,stop,fvg,46
short,2024-02-07 15:00:00+00:00,2024-02-08 04:00:00+00:00,1.0759629011154175,1.078847961974144,1.067307718539238,1.078847961974144,3.0,-1.0,stop,fvg,13
long,2024-03-11 23:00:00+00:00,2024-03-12 12:00:00+00:00,1.0933741331100464,1.0916039021253585,1.0979359149932861,1.0916039021253585,2.5769416097098117,-1.0,stop,fvg,13
