direction,entry_time,exit_time,entry,stop,target,exit,rr_target,r,outcome,zone_source,bars_held,quality
short,2023-09-25 07:00:00+00:00,2023-09-27 13:00:00+00:00,1.064056158065796,1.0675632614850998,1.053534847807884,1.053534847807884,3.0,3.0,target,fvg,54,1.4004690918407043
short,2023-09-28 02:00:00+00:00,2023-09-28 15:00:00+00:00,1.0503098964691162,1.057852915263176,1.027680840086937,1.057852915263176,3.0,-1.0,stop,fvg,13,0.7897510161365267
short,2023-10-01 23:00:00+00:00,2023-10-06 11:00:00+00:00,1.0566357374191284,1.0566357374191284,1.0401778501749035,1.0566357374191284,3.0,0.5564369652486246,be_stop,fvg,108,0.6104296261845242
short,2023-10-11 07:00:00+00:00,2023-10-11 13:00:00+00:00,1.06022047996521,1.0629118577957153,1.054073929786682,1.0629118577957153,2.283793122191987,-1.0,stop,bpr,6,1.298622949304085
short,2023-10-13 09:00:00+00:00,2023-10-23 14:00:00+00:00,1.0530749559402466,1.0631376853466035,1.022886767721176,1.0631376853466035,3.0,-1.0,stop,fvg,147,1.8593115525642532
short,2023-10-24 08:00:00+00:00,2023-10-25 23:00:00+00:00,1.065303087234497,1.065303087234497,1.0564124584197998,1.0564124584197998,2.060325558843159,1.69717176917069,target,fvg,39,0.9078572784209413
short,2023-10-26 15:00:00+00:00,2023-10-27 13:00:00+00:00,1.053518772125244,1.0589729912996293,1.0371561146020878,1.0589729912996293,3.0,-1.0,stop,fvg,22,2.094569067296307
short,2023-11-15 09:00:00+00:00,2023-11-16 15:00:00+00:00,1.0855406522750854,1.08918654756546,1.0735372304916382,1.08918654756546,3.292311168435638,-1.0,stop,fvg,30,0.6638563703675728
short,2023-11-17 07:00:00+00:00,2023-11-17 18:00:00+00:00,1.0841283798217771,1.0900174832582477,1.0698620080947876,1.0900174832582477,2.4225031672290798,-1.0,stop,bpr,11,3.3757278228108234
short,2023-11-21 15:00:00+00:00,2023-11-22 15:00:00+00:00,1.093732833862305,1.093732833862305,1.0868383646011353,1.0868383646011353,2.0650775325836133,1.586023106787691,target,fvg,24,0.9279751281022621
short,2023-11-28 07:00:00+00:00,2023-11-28 13:00:00+00:00,1.0938525199890137,1.0968308220863343,1.0856584310531616,1.0968308220863343,2.751261849234056,-1.0,stop,fvg,6,1.2332656877958763
short,2023-11-29 13:00:00+00:00,2023-12-01 14:00:00+00:00,1.0975743532180786,1.0975743532180786,1.0856584310531616,1.0856584310531616,2.604922886772117,1.81381418037802,target,fvg,49,0.814707718595412
long,2023-12-06 13:00:00+00:00,2023-12-06 19:00:00+00:00,1.0800302028656006,1.077370775961876,1.0883761644363403,1.077370775961876,3.1382556742022594,-1.0,stop,fvg,6,0.9989951034129942
short,2023-12-15 08:00:00+00:00,2023-12-21 21:00:00+00:00,1.0957703590393066,1.1014205822467804,1.0807305574417114,1.1014205822467804,2.6618066305241683,-1.0,stop,bpr,108,0.6194305880755882
long,2024-01-04 07:00:00+00:00,2024-01-05 13:00:00+00:00,1.0940918922424316,1.089581563448906,1.103265643119812,1.089581563448906,2.033942822649442,-1.0,stop,fvg,30,0.7752442996742671
short,2024-01-08 08:00:00+00:00,2024-01-22 10:00:00+00:00,1.0936132669448853,1.099967011141777,1.07455203435421,1.0889687538146973,3.0,0.7309883725662272,time,fvg,240,0.902288069010646
long,2024-01-24 09:00:00+00:00,2024-01-26 07:00:00+00:00,1.0906314849853516,1.08226894030571,1.1157191190242763,1.08226894030571,3.0,-1.0,stop,fvg,46,1.8372726071444303
short,2024-01-26 20:00:00+00:00,2024-01-30 14:00:00+00:00,1.0856584310531616,1.0856584310531616,1.076496652007103,1.0856584310531616,3.0,0.5194941360223361,be_stop,fvg,41,0.757789352212831
short,2024-02-07 15:00:00+00:00,2024-02-08 04:00:00+00:00,1.0759629011154177,1.078847961974144,1.0673077185392388,1.078847961974144,3.0,-1.0,stop,fvg,13,0.5401714830104796
long,2024-03-11 23:00:00+00:00,2024-03-12 12:00:00+00:00,1.0933741331100464,1.0916039021253585,1.097935914993286,1.0916039021253585,2.5769416097096864,-1.0,stop,fvg,13,1.5868694412383733
short,2024-03-20 08:00:00+00:00,2024-03-20 18:00:00+00:00,1.0855406522750854,1.0877650501728058,1.0788674585819245,1.0877650501728058,3.0,-1.0,stop,fvg,10,0.8623148997001103
long,2024-04-08 13:00:00+00:00,2024-04-10 12:00:00+00:00,1.0854227542877195,1.079347943353653,1.103647187089919,1.079347943353653,3.0,-1.0,stop,fvg,47,2.656880271937555
long,2024-04-16 11:00:00+00:00,2024-04-25 12:00:00+00:00,1.0646226406097412,1.060345730686188,1.0736525058746338,1.0736525058746338,2.111305925608753,2.111305925608753,target,fvg,168,0.5996272242394536
short,2024-05-06 19:00:00+00:00,2024-05-09 13:00:00+00:00,1.0770059823989868,1.0770059823989868,1.071811318397522,1.0770059823989868,2.044591328205724,0.8186154053424676,be_stop,fvg,66,1.7355776360670325
long,2024-05-17 14:00:00+00:00,2024-05-22 11:00:00+00:00,1.087902545928955,1.0836766396284103,1.1005802648305893,1.0836766396284103,3.0,-1.0,stop,fvg,68,2.5963717184542126
long,2024-05-24 07:00:00+00:00,2024-05-28 01:00:00+00:00,1.0828369855880735,1.0828369855880735,1.0876659154891968,1.0876659154891968,2.0791283141115726,1.799322645987283,target,fvg,41,0.6066450412280896
long,2024-06-10 18:00:00+00:00,2024-06-11 11:00:00+00:00,1.0765421390533447,1.073437775373459,1.0848339796066284,1.073437775373459,2.6710274337408935,-1.0,stop,fvg,17,1.2789060894584054
long,2024-06-12 09:00:00+00:00,2024-06-14 06:00:00+00:00,1.0756157636642456,1.072056535220146,1.0884946584701538,1.072056535220146,3.6184513043153657,-1.0,stop,fvg,45,1.5498090471086508
short,2024-06-18 10:00:00+00:00,2024-06-18 13:00:00+00:00,1.072041153907776,1.0745595039367675,1.064486103820802,1.0745595039367675,3.0,-1.0,stop,fvg,3,0.694683981971228
short,2024-06-19 06:00:00+00:00,2024-06-24 10:00:00+00:00,1.073306918144226,1.073306918144226,1.0633030139446262,1.073306918144226,3.0,0.6365794124005122,be_stop,bpr,75,1.658307446107748
short,2024-07-09 07:00:00+00:00,2024-07-11 08:00:00+00:00,1.0820168256759644,1.0850509464025497,1.0756157636642456,1.0850509464025497,2.1096925892340996,-1.0,stop,fvg,49,1.959908967143093
long,2024-07-24 12:00:00+00:00,2024-07-29 11:00:00+00:00,1.086130142211914,1.082737696671486,1.0940918922424316,1.082737696671486,2.3469057750924742,-1.0,stop,fvg,70,2.2967247908776893
long,2024-08-02 04:00:00+00:00,2024-08-02 12:00:00+00:00,1.0800302028656006,1.0800302028656006,1.0851871967315674,1.0851871967315674,2.480808400836193,1.746429473857268,target,fvg,8,1.7572056085907912
short,2024-08-06 06:00:00+00:00,2024-08-14 08:00:00+00:00,1.0940918922424316,1.1011780620574951,1.0789813995361328,1.1011780620574951,2.1323921244700568,-1.0,stop,bpr,145,0.7580637281246031
long,2024-08-16 17:00:00+00:00,2024-08-21 15:00:00+00:00,1.1015641689300537,1.0971139645576478,1.1149147820472716,1.1149147820472716,3.0,3.0,target,fvg,69,0.6036093599136707
short,2024-08-22 01:00:00+00:00,2024-08-23 14:00:00+00:00,1.1147029399871826,1.1147029399871826,1.1075423955917358,1.1147029399871826,2.228155049856546,0.5204172219681757,be_stop,fvg,37,0.792639101720888
short,2024-08-26 09:00:00+00:00,2024-08-28 12:00:00+00:00,1.117817997932434,1.117817997932434,1.1117286682128906,1.1117286682128906,2.1333706251024895,1.8949164134773713,target,fvg,51,1.2013556292940915
long,2024-08-30 06:00:00+00:00,2024-08-30 15:00:00+00:00,1.1087703704833984,1.1057288079023362,1.1161960363388062,1.1057288079023362,2.441398346245546,-1.0,stop,fvg,9,0.8518440356906889
long,2024-09-02 06:00:00+00:00,2024-09-03 09:00:00+00:00,1.1069294214248655,1.1042633036375047,1.113089919090271,1.1042633036375047,2.310662227531879,-1.0,stop,fvg,27,0.6165867874257974
long,2024-09-11 01:00:00+00:00,2024-09-11 12:00:00+00:00,1.103996515274048,1.1015866368532183,1.109139323234558,1.1015866368532183,2.1340528700777073,-1.0,stop,fvg,11,1.0081592722214208
short,2024-09-11 12:00:00+00:00,2024-09-12 17:00:00+00:00,1.1020498275756836,1.1059266407489778,1.0904193880558009,1.1059266407489778,3.0,-1.0,stop,fvg,29,0.9357816139492557
short,2024-09-18 04:00:00+00:00,2024-09-18 18:00:00+00:00,1.1123470067977903,1.115174481654167,1.103996515274048,1.115174481654167,2.9533389147243456,-1.0,stop,fvg,14,0.5234374999997653
long,2024-09-19 05:00:00+00:00,2024-10-01 13:00:00+00:00,1.1133378744125366,1.1071982452869416,1.1317567617893218,1.1071982452869416,3.0,-1.0,stop,fvg,198,1.5813511741666528
short,2024-10-08 12:00:00+00:00,2024-10-10 17:00:00+00:00,1.0978153944015503,1.0978153944015503,1.0906344144105915,1.0906344144105915,3.0,2.0024035637903896,target,fvg,52,0.7002907494212102
short,2024-10-13 23:00:00+00:00,2024-10-17 13:00:00+00:00,1.0926573276519775,1.095869445347786,1.0830209745645523,1.0830209745645523,3.0,3.0,target,fvg,86,0.8749072544192167
short,2024-10-21 07:00:00+00:00,2024-10-23 11:00:00+00:00,1.0850694179534912,1.0850694179534912,1.0776921968936921,1.0776921968936921,3.0,2.049223739542796,target,fvg,52,0.539650426510782
short,2024-11-01 15:00:00+00:00,2024-11-04 11:00:00+00:00,1.0851871967315674,1.0909686059474946,1.0678429690837858,1.0909686059474946,3.0,-1.0,stop,fvg,19,0.8630232442387138
