direction,entry_time,exit_time,entry,stop,target,exit,rr_target,r,outcome,zone_source,bars_held
short,2023-10-04 06:00:00+00:00,2023-10-04 08:00:00+00:00,1.2055164575576782,1.2102950968980788,1.1911805395364765,1.2102950968980788,3.0,-1.0,stop,fvg,2
long,2023-10-05 01:00:00+00:00,2023-10-19 03:00:00+00:00,1.216189980506897,1.2039836223840714,1.2528090548753736,1.2128562927246094,3.0,-0.27311076315659566,time,fvg,240
long,2023-10-19 12:00:00+00:00,2023-10-23 17:00:00+00:00,1.2141520977020264,1.2141520977020264,1.2244547605514526,1.2244547605514526,2.054753673157838,1.6152967232631377,target,fvg,52
short,2023-10-25 16:00:00+00:00,2023-10-31 09:00:00+00:00,1.2128709554672241,1.217914332461357,1.1977408244848253,1.217914332461357,3.0,-1.0,stop,fvg,87
short,2023-10-31 13:00:00+00:00,2023-11-02 12:00:00+00:00,1.2137985229492188,1.220306626009941,1.1942742137670517,1.220306626009941,3.0,-1.0,stop,fvg,47
long,2023-11-08 14:00:00+00:00,2023-11-09 18:00:00+00:00,1.2282296419143677,1.2240750708580017,1.2384973764419556,1.2240750708580017,2.471430717704263,-1.0,stop,fvg,28
long,2023-11-16 09:00:00+00:00,2023-11-17 07:00:00+00:00,1.2401409149169922,1.2401409149169922,1.2475205659866333,1.2401409149169922,2.7930939611428376,0.5133643985119652,be_stop,fvg,22
long,2023-11-23 02:00:00+00:00,2023-11-28 15:00:00+00:00,1.2503907680511475,1.2448794866800308,1.2669246121644975,1.2669246121644975,3.0,3.0,target,fvg,84
short,2023-11-29 07:00:00+00:00,2023-11-30 14:00:00+00:00,1.269728422164917,1.2732642597913741,1.2622915506362915,1.2622915506362915,2.1032842325616374,2.1032842325616374,target,fvg,31
short,2023-12-15 13:00:00+00:00,2023-12-22 10:00:00+00:00,1.2712942361831665,1.2712942361831665,1.2545791864395142,1.2712942361831665,2.0004432145325923,0.5911191569273756,be_stop,fvg,116
long,2023-12-27 02:00:00+00:00,2023-12-28 18:00:00+00:00,1.2726856470108032,1.2726856470108032,1.2857978242635726,1.2726856470108032,3.0,0.5225382016650842,be_stop,fvg,40
long,2023-12-29 05:00:00+00:00,2023-12-29 09:00:00+00:00,1.2764382362365723,1.27103997733593,1.292633012938499,1.27103997733593,3.0,-1.0,stop,fvg,4
short,2024-01-02 02:00:00+00:00,2024-01-04 09:00:00+00:00,1.271019458770752,1.271019458770752,1.2538506066799164,1.271019458770752,3.0,0.5337593493028931,be_stop,fvg,55
long,2024-01-17 07:00:00+00:00,2024-01-23 17:00:00+00:00,1.2654223442077637,1.2654223442077637,1.2774165868759155,1.2654223442077637,2.0345762251420028,0.5391530944973278,be_stop,fvg,105
short,2024-03-11 08:00:00+00:00,2024-03-19 06:00:00+00:00,1.283433437347412,1.283433437347412,1.2707610130310059,1.2707610130310059,2.2494743294803046,1.8914552880474584,target,fvg,140
long,2024-03-19 17:00:00+00:00,2024-03-21 12:00:00+00:00,1.2731393575668335,1.2731393575668335,1.286190152168274,1.2731393575668335,2.0042299104016412,0.5142203167605958,be_stop,fvg,43
short,2024-03-26 12:00:00+00:00,2024-03-28 12:00:00+00:00,1.2641425132751465,1.2641425132751465,1.2576876878738403,1.2641425132751465,2.2168371770248108,0.6293054878026182,be_stop,fvg,48
short,2024-04-03 07:00:00+00:00,2024-04-03 09:00:00+00:00,1.2566128969192505,1.2585880921125412,1.2506873113393784,1.2585880921125412,3.0,-1.0,stop,fvg,2
long,2024-04-08 13:00:00+00:00,2024-04-10 13:00:00+00:00,1.26455819606781,1.2573728628635408,1.286114195680618,1.2573728628635408,3.0,-1.0,stop,fvg,48
long,2024-04-23 07:00:00+00:00,2024-04-29 15:00:00+00:00,1.2366900444030762,1.2366900444030762,1.2549885511398315,1.2549885511398315,2.666129634605046,1.8643054634253815,target,bpr,104
short,2024-05-07 02:00:00+00:00,2024-05-09 11:00:00+00:00,1.2554454803466797,1.2554454803466797,1.2467273473739624,1.2467273473739624,2.0813143235424394,1.5898790516551813,target,fvg,57
short,2024-05-10 14:00:00+00:00,2024-05-13 11:00:00+00:00,1.2508130073547363,1.2544052746295928,1.2400362055301668,1.2544052746295928,3.0,-1.0,stop,fvg,20
short,2024-06-03 07:00:00+00:00,2024-06-03 14:00:00+00:00,1.2715204954147339,1.2767912950515747,1.2557080965042113,1.2767912950515747,3.0,-1.0,stop,fvg,7
short,2024-06-11 06:00:00+00:00,2024-06-11 10:00:00+00:00,1.2719409465789795,1.274156362080574,1.2652947000741959,1.274156362080574,3.0,-1.0,stop,fvg,4
short,2024-06-12 00:00:00+00:00,2024-06-12 08:00:00+00:00,1.2734473943710327,1.275423691034317,1.268842339515686,1.275423691034317,2.33014351584931,-1.0,stop,bpr,8
short,2024-06-18 01:00:00+00:00,2024-06-18 13:00:00+00:00,1.2698897123336792,1.2698897123336792,1.2659990787506104,1.2698897123336792,2.0464270125507307,0.5589002413325654,be_stop,fvg,12
long,2024-06-24 07:00:00+00:00,2024-06-26 11:00:00+00:00,1.2654383182525635,1.2654383182525635,1.271860122680664,1.2654383182525635,2.001776620412944,0.5180019693439102,be_stop,fvg,52
