direction,entry_time,exit_time,entry,stop,target,exit,rr_target,r,outcome,zone_source,bars_held,quality
long,2024-02-15 12:00:00+00:00,2024-02-20 05:00:00+00:00,17906.25,17686.71195,18564.864149999998,17686.71195,3.0,-1.0,stop,fvg,39,0.936562860438293
long,2024-02-21 20:00:00+00:00,2024-02-22 08:00:00+00:00,17537.0,17537.0,17887.0,17887.0,2.086754741628474,1.6008389946492723,target,fvg,11,1.4226932668329177
long,2024-02-26 09:00:00+00:00,2024-02-27 18:00:00+00:00,17992.0,17918.4156,18144.75,17918.4156,2.07584759813222,-1.0,stop,fvg,32,0.5792390099741411
short,2024-02-28 08:00:00+00:00,2024-02-29 13:00:00+00:00,17946.0,17946.0,17717.75,17946.0,2.332460129749188,0.5198856915706022,be_stop,fvg,28,1.1628247347237468
short,2024-03-01 10:00:00+00:00,2024-03-01 15:00:00+00:00,18064.75,18166.6326,17857.75,18166.6326,2.0317502694277367,-1.0,stop,bpr,5,0.571992110453649
long,2024-03-06 07:00:00+00:00,2024-03-07 18:00:00+00:00,18003.0,18003.0,18352.75,18352.75,2.009289553130547,1.5209704337135448,target,bpr,34,1.2899968444304197
long,2024-03-08 13:00:00+00:00,2024-03-08 17:00:00+00:00,18352.0,18101.628950000002,19103.113149999994,18101.628950000002,3.0,-1.0,stop,fvg,4,0.7497805092186128
long,2024-03-11 22:00:00+00:00,2024-03-14 13:00:00+00:00,18033.0,18033.0,18346.5,18033.0,2.1497906954178423,0.5134468207955692,be_stop,fvg,61,1.0722323049001816
short,2024-03-19 11:00:00+00:00,2024-03-20 18:00:00+00:00,18119.25,18384.676199999998,17322.971400000006,18384.676199999998,3.0,-1.0,stop,fvg,30,2.178147268408551
long,2024-03-22 17:00:00+00:00,2024-03-25 11:00:00+00:00,18622.5,18488.3016,19025.095200000003,18488.3016,3.0,-1.0,stop,fvg,17,0.9240924092409242
long,2024-04-17 09:00:00+00:00,2024-04-17 14:00:00+00:00,17929.75,17774.69435,18255.0,17774.69435,2.0976339785103173,-1.0,stop,fvg,5,1.374123645634162
short,2024-04-24 15:00:00+00:00,2024-04-25 20:00:00+00:00,17607.5,17607.5,17181.75,17607.5,2.222551682483386,0.6460147286137851,be_stop,fvg,28,0.8015267175572519
long,2024-05-08 14:00:00+00:00,2024-05-15 17:00:00+00:00,18218.5,18068.8855,18667.3435,18667.3435,3.0,3.0,target,fvg,118,1.6913705583756344
long,2024-05-21 14:00:00+00:00,2024-05-23 12:00:00+00:00,18755.0,18674.2644,18997.2068,18997.2068,3.0,3.0,target,fvg,44,2.2607655502392343
short,2024-06-04 08:00:00+00:00,2024-06-05 02:00:00+00:00,18555.0,18759.2511,17942.246699999996,18759.2511,3.0,-1.0,stop,fvg,17,1.2288926094235828
long,2024-06-10 14:00:00+00:00,2024-06-12 12:00:00+00:00,19065.75,18970.45515,19351.634549999995,19351.634549999995,3.0,3.0,target,fvg,44,0.9627885068299576
long,2024-06-23 22:00:00+00:00,2024-07-10 04:00:00+00:00,20016.25,19683.5625,21014.3125,20715.75,3.0,2.102573736614691,time,fvg,240,1.1014218009478673
long,2024-07-12 14:00:00+00:00,2024-07-17 08:00:00+00:00,20636.25,20330.933,21552.200999999997,20330.933,3.0,-1.0,stop,fvg,64,2.2015948963317387
long,2024-07-31 02:00:00+00:00,2024-08-02 02:00:00+00:00,19107.5,18721.255,19953.75,18721.255,2.1909668733575898,-1.0,stop,bpr,46,2.738206896551724
short,2024-08-07 17:00:00+00:00,2024-08-08 20:00:00+00:00,18117.75,18561.7116,16785.865200000004,18561.7116,3.0,-1.0,stop,fvg,26,0.8133052237057858
short,2024-08-19 08:00:00+00:00,2024-08-19 16:00:00+00:00,19572.0,19691.9376,19104.75,19691.9376,3.895775803417741,-1.0,stop,fvg,8,1.2951167728237791
long,2024-08-27 14:00:00+00:00,2024-08-28 15:00:00+00:00,19669.5,19437.6117,20365.164899999996,19437.6117,3.0,-1.0,stop,fvg,24,1.4666666666666666
long,2024-09-04 13:00:00+00:00,2024-09-06 01:00:00+00:00,18974.5,18821.98485,19475.0,18821.98485,3.2816412008905504,-1.0,stop,fvg,34,1.1063515509601183
long,2024-09-17 07:00:00+00:00,2024-09-23 00:00:00+00:00,19501.25,19295.6401,20118.0797,20118.0797,3.0,3.0,target,fvg,79,1.1940951339529797
short,2024-09-25 05:00:00+00:00,2024-09-25 13:00:00+00:00,20099.0,20218.79295,19788.25,20218.79295,2.594059166253125,-1.0,stop,fvg,8,0.7430340557275542
long,2024-10-02 12:00:00+00:00,2024-10-07 18:00:00+00:00,19980.5,19980.5,20324.75,19980.5,2.068019675172241,0.5511715474133713,be_stop,fvg,75,0.5230214648533508
long,2024-11-13 08:00:00+00:00,2024-11-14 15:00:00+00:00,21177.75,21050.53905,21559.38285,21050.53905,3.0,-1.0,stop,fvg,30,0.6604310695404636
long,2024-11-18 15:00:00+00:00,2024-11-19 14:00:00+00:00,20680.75,20401.16895,21240.75,20401.16895,2.0029969842376607,-1.0,stop,fvg,22,2.377880184331797
long,2024-11-19 16:00:00+00:00,2024-12-02 17:00:00+00:00,20669.5,20669.5,21253.0,21253.0,2.004627649432371,1.5120595444840144,target,bpr,172,1.0235439900867411
long,2024-12-11 13:00:00+00:00,2024-12-16 17:00:00+00:00,21529.0,21348.47945,22070.561650000003,22070.561650000003,3.0,3.0,target,fvg,73,0.9471577261809448
long,2024-12-31 09:00:00+00:00,2024-12-31 17:00:00+00:00,21489.0,21248.7494,22061.25,21248.7494,2.3818879120385192,-1.0,stop,fvg,8,1.1946529939571509
short,2025-01-14 12:00:00+00:00,2025-01-14 18:00:00+00:00,21005.0,21005.0,20702.0,21005.0,2.122908707218665,0.5123356409748017,be_stop,fvg,6,1.1498691099476441
short,2025-01-29 13:00:00+00:00,2025-01-29 18:00:00+00:00,21602.5,21602.5,21369.75,21369.75,2.4034738070405535,1.789051931556502,target,fvg,5,1.5017932833387675
long,2025-02-21 12:00:00+00:00,2025-02-21 15:00:00+00:00,22217.5,21946.609800000002,23030.170599999994,21946.609800000002,3.0,-1.0,stop,fvg,3,4.384240454914703
long,2025-03-11 18:00:00+00:00,2025-03-26 11:00:00+00:00,19638.75,19638.75,20647.5,20482.5,2.004160906256239,1.352001483724779,time,fvg,240,0.870679012345679
long,2025-03-27 14:00:00+00:00,2025-03-28 00:00:00+00:00,20189.25,19933.26255,20957.21235,19933.26255,3.0,-1.0,stop,fvg,9,0.9792746113989638
short,2025-04-02 07:00:00+00:00,2025-04-02 15:00:00+00:00,19535.5,19700.9394,19179.75,19700.9394,2.1503342009219177,-1.0,stop,fvg,8,1.2328881469115192
short,2025-04-02 20:00:00+00:00,2025-04-06 23:00:00+00:00,19152.25,20048.25885,16464.223450000005,16464.223450000005,3.0,3.0,target,fvg,48,2.1145077720207253
long,2025-04-07 10:00:00+00:00,2025-04-08 19:00:00+00:00,17121.25,17121.25,18675.75,17121.25,2.339205046483137,0.8665742722055173,be_stop,fvg,32,0.6878921137496335
