direction,entry_time,exit_time,entry,stop,target,exit,rr_target,r,outcome,zone_source,bars_held,quality
long,2024-03-04 13:00:00+00:00,2024-03-05 14:00:00+00:00,18335.0,18066.8859,19139.342299999997,18066.8859,3.0,-1.0,stop,fvg,24,1.711641500243546
long,2024-03-21 20:00:00+00:00,2024-03-25 11:00:00+00:00,18579.75,18466.8059,18918.582300000002,18466.8059,3.0,-1.0,stop,fvg,37,0.918664047151277
long,2024-03-27 16:00:00+00:00,2024-03-31 23:00:00+00:00,18440.75,18440.75,18589.0,18589.0,2.2487436614249146,1.7557644439118643,target,fvg,29,2.251256281407035
long,2024-04-22 05:00:00+00:00,2024-04-24 05:00:00+00:00,17282.25,17282.25,17746.0,17746.0,2.689611834640048,2.1306655477108087,target,fvg,46,1.5476190476190477
long,2024-05-10 16:00:00+00:00,2024-05-14 12:00:00+00:00,18245.0,18166.366,18480.901999999995,18166.366,3.0,-1.0,stop,fvg,42,1.6913705583756344
long,2024-05-21 14:00:00+00:00,2024-05-23 12:00:00+00:00,18755.0,18674.2644,18997.2068,18997.2068,3.0,3.0,target,fvg,44,2.2607655502392343
short,2024-06-04 08:00:00+00:00,2024-06-05 02:00:00+00:00,18555.0,18759.2511,17942.246699999996,18759.2511,3.0,-1.0,stop,fvg,17,1.2288926094235828
long,2024-06-24 16:00:00+00:00,2024-07-01 13:00:00+00:00,19851.0,19851.0,20294.8242,19851.0,3.0,0.5069574845175194,be_stop,fvg,112,0.9686627365808252
long,2024-07-15 00:00:00+00:00,2024-07-17 08:00:00+00:00,20570.0,20330.933,21287.200999999997,20330.933,3.0,-1.0,stop,fvg,54,2.2015948963317387
long,2024-07-26 16:00:00+00:00,2024-07-30 15:00:00+00:00,19276.75,18937.2118,19976.5,18937.2118,2.0608874053052113,-1.0,stop,fvg,45,1.1232091690544412
short,2024-08-19 08:00:00+00:00,2024-08-19 16:00:00+00:00,19572.0,19691.9376,19104.75,19691.9376,3.895775803417741,-1.0,stop,fvg,8,1.2951167728237791
long,2024-09-04 16:00:00+00:00,2024-09-06 01:00:00+00:00,19065.75,18821.98485,19622.0,18821.98485,2.281909452602235,-1.0,stop,fvg,31,1.1063515509601183
long,2024-09-20 12:00:00+00:00,2024-09-23 01:00:00+00:00,19827.0,19827.0,20138.086349999998,20138.086349999998,3.0,2.171437367791938,target,fvg,6,0.7262247838616714
long,2024-10-08 04:00:00+00:00,2024-10-08 14:00:00+00:00,20001.75,20001.75,20226.75,20226.75,2.179588396840127,1.6310586503020281,target,fvg,10,0.6428571428571429
long,2024-11-14 04:00:00+00:00,2024-11-14 15:00:00+00:00,21140.25,21052.2887,21320.0,21052.2887,2.0435123173486747,-1.0,stop,fvg,11,0.8679479231246126
long,2024-11-18 20:00:00+00:00,2024-11-19 13:00:00+00:00,20631.5,20448.15955,21151.5,20448.15955,2.8362535381581147,-1.0,stop,fvg,16,2.377880184331797
long,2024-12-13 04:00:00+00:00,2024-12-16 17:00:00+00:00,21717.75,21599.92915,22071.21255,22071.21255,3.0,3.0,target,fvg,36,0.9471577261809448
long,2025-01-02 16:00:00+00:00,2025-01-02 17:00:00+00:00,21316.25,21162.2667,21667.5,21162.2667,2.281091520963639,-1.0,stop,fvg,1,1.1946529939571509
long,2025-03-11 18:00:00+00:00,2025-03-26 11:00:00+00:00,19638.75,19638.75,20647.5,20482.5,2.004160906256239,1.352001483724779,time,fvg,240,0.870679012345679
long,2025-03-27 19:00:00+00:00,2025-03-28 00:00:00+00:00,19994.75,19933.26255,20138.5,19933.26255,2.337875452632997,-1.0,stop,fvg,4,0.9792746113989638
short,2025-04-03 03:00:00+00:00,2025-04-17 13:00:00+00:00,19097.0,20048.25885,16243.223450000005,18467.75,3.0,0.6614918746879476,time,fvg,240,2.1145077720207253
short,2025-05-06 09:00:00+00:00,2025-05-08 04:00:00+00:00,19866.5,20195.5383,19103.75,20195.5383,2.3181191976739473,-1.0,stop,fvg,41,2.2865051903114186
short,2025-06-05 17:00:00+00:00,2025-06-10 01:00:00+00:00,21729.0,21939.387,21301.0,21939.387,2.0343462286167986,-1.0,stop,fvg,53,2.0570175438596494
long,2025-07-23 16:00:00+00:00,2025-07-24 19:00:00+00:00,23228.5,23228.5,23423.5,23423.5,2.257483993570242,1.6627237875719283,target,fvg,26,1.894990366088632
long,2025-07-30 15:00:00+00:00,2025-07-30 18:00:00+00:00,23529.75,23416.8157,23868.552900000002,23416.8157,3.0,-1.0,stop,fvg,3,0.6166822867853796
short,2025-08-27 13:00:00+00:00,2025-08-27 18:00:00+00:00,23535.5,23633.475749999998,23334.25,23633.475749999998,2.0540797084993434,-1.0,stop,fvg,5,0.7329324372125929
long,2025-08-29 04:00:00+00:00,2025-08-29 13:00:00+00:00,23720.0,23535.04205,24274.87385,23535.04205,3.0,-1.0,stop,fvg,9,1.1694689084601013
long,2025-10-07 17:00:00+00:00,2025-10-08 08:00:00+00:00,25015.5,25015.5,25109.0,25109.0,2.6156077651379572,2.16102352788136,target,fvg,14,0.9924515917295701
long,2025-10-13 17:00:00+00:00,2025-10-28 03:00:00+00:00,24926.5,24153.6683,27244.995099999996,25979.25,3.0,1.3621982638652137,time,fvg,240,1.3527885862516213
long,2025-10-31 07:00:00+00:00,2025-11-04 05:00:00+00:00,26217.5,25847.829400000002,27326.511799999993,25847.829400000002,3.0,-1.0,stop,fvg,43,0.7110967324490456
long,2026-01-15 23:00:00+00:00,2026-01-19 04:00:00+00:00,25741.5,25557.3875,26293.837499999998,25557.3875,3.0,-1.0,stop,fvg,23,2.447478194918468
long,2026-04-06 19:00:00+00:00,2026-04-07 15:00:00+00:00,24363.0,23976.703700000002,25521.888899999994,23976.703700000002,3.0,-1.0,stop,fvg,19,0.9806598407281001
long,2026-05-29 03:00:00+00:00,2026-06-05 15:00:00+00:00,30260.75,29757.0474,31771.8578,29757.0474,3.0,-1.0,stop,fvg,127,2.4897146648971464
