direction,entry_time,exit_time,entry,stop,target,exit,rr_target,r,outcome,zone_source,bars_held
long,2023-10-01 23:00:00+00:00,2023-10-03 14:00:00+00:00,149.5290069580078,148.49429727478028,152.6331360076904,148.49429727478028,3.0,-1.0,stop,fvg,39
long,2023-10-06 00:00:00+00:00,2023-10-06 12:00:00+00:00,148.63800048828125,148.63800048828125,149.48800659179688,149.48800659179688,2.0598887528431846,1.5667150139879527,target,fvg,12
long,2023-10-10 04:00:00+00:00,2023-10-24 08:00:00+00:00,148.73500061035156,148.73500061035156,150.16000366210938,149.51699829101562,2.349057976916101,1.1588583728650073,time,fvg,240
short,2023-10-24 21:00:00+00:00,2023-10-25 15:00:00+00:00,149.84300231933594,149.95898665466308,149.60800170898438,149.95898665466308,2.026140941263561,-1.0,stop,fvg,18
long,2023-10-30 10:00:00+00:00,2023-10-30 14:00:00+00:00,149.68600463867188,149.25014277954102,150.7779998779297,149.25014277954102,2.5053700303929967,-1.0,stop,fvg,4
long,2023-11-15 13:00:00+00:00,2023-11-17 08:00:00+00:00,150.781005859375,150.0099852874756,153.09406757507324,150.0099852874756,3.0,-1.0,stop,fvg,43
long,2023-11-21 16:00:00+00:00,2023-11-28 15:00:00+00:00,147.88099670410156,147.88099670410156,149.8730010986328,147.88099670410156,2.626469269518932,0.5326754420934675,be_stop,fvg,118
long,2023-11-29 07:00:00+00:00,2023-12-01 15:00:00+00:00,147.3489990234375,147.3489990234375,148.8300018310547,147.3489990234375,2.07615643586228,0.7051325361891441,be_stop,fvg,56
short,2023-12-01 15:00:00+00:00,2023-12-07 08:00:00+00:00,147.58700561523438,147.58700561523438,145.21801389465335,145.21801389465335,3.0,2.0838004758045936,target,fvg,88
long,2023-12-08 09:00:00+00:00,2023-12-14 03:00:00+00:00,144.28599548339844,141.58668249206542,152.3839344573975,141.58668249206542,3.0,-1.0,stop,fvg,88
long,2023-12-14 23:00:00+00:00,2023-12-21 13:00:00+00:00,142.2899932861328,142.2899932861328,145.21600341796875,142.2899932861328,2.1448709931107217,0.6912536037929857,be_stop,fvg,108
short,2023-12-29 12:00:00+00:00,2024-01-02 12:00:00+00:00,141.47500610351562,141.94137698364258,140.24400329589844,141.94137698364258,2.639536171902658,-1.0,stop,fvg,28
short,2024-01-05 15:00:00+00:00,2024-01-11 13:00:00+00:00,144.125,146.00519312438965,140.24400329589844,146.00519312438965,2.0641479078705904,-1.0,stop,fvg,92
long,2024-01-15 04:00:00+00:00,2024-01-17 06:00:00+00:00,145.16799926757812,145.16799926757812,147.71160939941404,147.71160939941404,3.0,2.235368602452434,target,fvg,50
short,2024-01-18 06:00:00+00:00,2024-01-19 05:00:00+00:00,147.7480010986328,148.55370687561035,145.99099731445312,148.55370687561035,2.1807014848159416,-1.0,stop,bpr,23
short,2024-01-22 01:00:00+00:00,2024-02-02 13:00:00+00:00,147.85800170898438,147.85800170898438,145.6739959716797,147.85800170898438,2.2382613131199722,0.808085972678697,be_stop,fvg,227
